idx,op,name,ne0,ne1,ne2,ne3,us
1370,PERMUTE,bb.layers.2.blocks.10.attn (reshaped) (permuted),9216,6,12,6,0
1371,CONT,bb.layers.2.blocks.10.attn (reshaped) (permuted) (cont),9216,6,12,6,106
1372,RESHAPE,bb.layers.2.blocks.10.attn (reshaped) (permuted) (cont) (reshap,768,72,72,1,1
1373,RESHAPE,bb.layers.2.blocks.10.attn (reshaped) (permuted) (cont) (reshap,768,72,72,1,0
1374,VIEW,bb.layers.2.blocks.10.attn (reshaped) (permuted) (cont) (reshap,768,64,64,1,0
1375,CONT,bb.layers.2.blocks.10.attn (reshaped) (permuted) (cont) (reshap,768,64,64,1,82
1376,RESHAPE,bb.layers.2.blocks.10.attn (reshaped) (permuted) (cont) (reshap,768,4096,1,1,0
1377,ADD,bb.layers.2.blocks.10.attn (reshaped) (permuted) (cont) (reshap,768,4096,1,1,119
1378,NORM,node_1378,768,4096,1,1,105
1379,CPY,bb.layers.2.blocks.10.norm2.weight (copy),768,1,1,1,6
1380,MUL,node_1380,768,4096,1,1,83
1381,CPY,bb.layers.2.blocks.10.norm2.bias (copy),768,1,1,1,6
1382,ADD,bb.layers.2.blocks.10.norm2,768,4096,1,1,81
1383,MUL_MAT,node_1383,3072,4096,1,1,771
1384,CPY,bb.layers.2.blocks.10.mlp.fc1.bias (copy),3072,1,1,1,6
1385,ADD,node_1385,3072,4096,1,1,308
1386,UNARY, (view),3072,4096,1,1,311
1387,MUL_MAT,node_1387,768,4096,1,1,745
1388,CPY,bb.layers.2.blocks.10.mlp.fc2.bias (copy),768,1,1,1,6
1389,ADD,bb.layers.2.blocks.10.mlp,768,4096,1,1,82
1390,ADD,bb.layers.2.blocks.10,768,4096,1,1,119
1391,NORM,node_1391,768,4096,1,1,104
1392,CPY,bb.layers.2.blocks.11.norm1.weight (copy),768,1,1,1,7
1393,MUL,node_1393,768,4096,1,1,82
1394,CPY,bb.layers.2.blocks.11.norm1.bias (copy),768,1,1,1,6
1395,ADD,bb.layers.2.blocks.11.norm1,768,4096,1,1,82
1396,RESHAPE,bb.layers.2.blocks.11.norm1 (reshaped),768,64,64,1,0
1397,PAD,node_1397,768,72,72,1,95
1398,ROLL,node_1398,768,72,72,1,198
1399,RESHAPE, (reshaped),9216,6,12,6,0
1400,PERMUTE, (reshaped) (permuted),9216,12,6,6,0
1401,CONT, (reshaped) (permuted) (cont),9216,12,6,6,105
1402,RESHAPE, (reshaped) (permuted) (cont) (reshaped),768,144,36,1,0
1403,MUL_MAT,node_1403,2304,144,36,1,955
1404,CPY,bb.layers.2.blocks.11.attn.qkv.bias (copy),2304,1,1,1,7
1405,ADD,node_1405,2304,144,36,1,293
1406,RESHAPE, (reshaped),32,24,3,5184,1
1407,PERMUTE, (reshaped) (permuted),32,24,5184,3,1
1408,CONT, (reshaped) (permuted) (cont),32,24,5184,3,571
1409,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,1
1410,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,1
1411,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),144,32,24,36,1
1412,CONT, (reshaped) (permuted) (cont) (view) (reshaped) (permuted) (con,144,32,24,36,103
1413,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,1
1414,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,1
1415,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,24,36,1
1416,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,1
1417,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,1
1418,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,24,36,1
1419,MUL_MAT,node_1419,144,144,24,36,528
1420,RESHAPE,swin_layer_64x64.attn_mask (reshaped),144,144,1,36,0
1421,REPEAT,node_1421,144,144,24,36,1603
1422,GET_ROWS,node_1422,24,20736,1,1,76
1423,RESHAPE, (reshaped),24,144,144,1,1
1424,PERMUTE, (reshaped) (permuted),144,144,24,1,1
1425,CPY, (reshaped) (permuted) (copy),144,144,24,1,34
1426,ADD,node_1426,144,144,24,36,277
1427,SOFT_MAX,node_1427,144,144,24,36,1256
1428,MUL_MAT,node_1428,32,144,24,36,334
1429,PERMUTE, (permuted),32,24,144,36,1
1430,CONT, (permuted) (cont),32,24,144,36,199
1431,RESHAPE, (permuted) (cont) (reshaped),768,144,36,1,1
1432,MUL_MAT,node_1432,768,144,36,1,355
1433,CPY,bb.layers.2.blocks.11.attn.proj.bias (copy),768,1,1,1,8
1434,ADD,bb.layers.2.blocks.11.attn,768,144,36,1,103
1435,RESHAPE,bb.layers.2.blocks.11.attn (reshaped),9216,12,6,6,0
1436,PERMUTE,bb.layers.2.blocks.11.attn (reshaped) (permuted),9216,6,12,6,0
1437,CONT,bb.layers.2.blocks.11.attn (reshaped) (permuted) (cont),9216,6,12,6,105
1438,RESHAPE,bb.layers.2.blocks.11.attn (reshaped) (permuted) (cont) (reshap,768,72,72,1,0
