idx,op,name,ne0,ne1,ne2,ne3,us
457,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,12,144,36,0
458,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,12,36,0
459,VIEW, (reshaped) (permuted) (cont) (view),32,12,5184,1,0
460,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,12,144,36,0
461,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,12,36,1
462,MUL_MAT,node_462,144,144,12,36,6319
463,RESHAPE,swin_layer_64x64.attn_mask (reshaped),144,144,1,36,2
464,REPEAT,node_464,144,144,12,36,1545
465,GET_ROWS,node_465,12,20736,1,1,215
466,RESHAPE, (reshaped),12,144,144,1,1
467,PERMUTE, (reshaped) (permuted),144,144,12,1,1
468,CPY, (reshaped) (permuted) (copy),144,144,12,1,97
469,ADD,node_469,144,144,12,36,3202
470,SOFT_MAX,node_470,144,144,12,36,4347
471,MUL_MAT,node_471,32,144,12,36,4709
472,PERMUTE, (permuted),32,12,144,36,2
473,CONT, (permuted) (cont),32,12,144,36,605
474,RESHAPE, (permuted) (cont) (reshaped),384,144,36,1,1
475,MUL_MAT,node_475,384,144,36,1,3779
476,ADD,bb.layers.1.blocks.0.attn,384,144,36,1,93
477,RESHAPE,bb.layers.1.blocks.0.attn (reshaped),4608,12,6,6,0
478,PERMUTE,bb.layers.1.blocks.0.attn (reshaped) (permuted),4608,6,12,6,0
479,CONT,bb.layers.1.blocks.0.attn (reshaped) (permuted) (cont),4608,6,12,6,436
480,RESHAPE,bb.layers.1.blocks.0.attn (reshaped) (permuted) (cont) (reshape,384,72,72,1,0
481,RESHAPE,bb.layers.1.blocks.0.attn (reshaped) (permuted) (cont) (reshape,384,72,72,1,1
482,VIEW,bb.layers.1.blocks.0.attn (reshaped) (permuted) (cont) (reshape,384,64,64,1,0
483,CONT,bb.layers.1.blocks.0.attn (reshaped) (permuted) (cont) (reshape,384,64,64,1,258
484,RESHAPE,bb.layers.1.blocks.0.attn (reshaped) (permuted) (cont) (reshape,384,4096,1,1,0
485,ADD,bb.layers.1.blocks.0.attn (reshaped) (permuted) (cont) (reshape,384,4096,1,1,260
486,NORM,node_486,384,4096,1,1,240
487,MUL,node_487,384,4096,1,1,75
488,ADD,bb.layers.1.blocks.0.norm2,384,4096,1,1,80
489,MUL_MAT,node_489,1536,4096,1,1,10098
490,ADD,node_490,1536,4096,1,1,626
491,UNARY, (view),1536,4096,1,1,2759
492,MUL_MAT,node_492,384,4096,1,1,10333
493,ADD,bb.layers.1.blocks.0.mlp,384,4096,1,1,56
494,ADD,bb.layers.1.blocks.0,384,4096,1,1,330
495,NORM,node_495,384,4096,1,1,263
496,MUL,node_496,384,4096,1,1,48
497,ADD,bb.layers.1.blocks.1.norm1,384,4096,1,1,48
498,RESHAPE,bb.layers.1.blocks.1.norm1 (reshaped),384,64,64,1,1
499,PAD,node_499,384,72,72,1,1153
500,ROLL,node_500,384,72,72,1,584
501,RESHAPE, (reshaped),4608,6,12,6,1
502,PERMUTE, (reshaped) (permuted),4608,12,6,6,1
503,CONT, (reshaped) (permuted) (cont),4608,12,6,6,407
504,RESHAPE, (reshaped) (permuted) (cont) (reshaped),384,144,36,1,1
505,MUL_MAT,node_505,1152,144,36,1,11499
506,ADD,node_506,1152,144,36,1,547
507,RESHAPE, (reshaped),32,12,3,5184,0
508,PERMUTE, (reshaped) (permuted),32,12,5184,3,0
509,CONT, (reshaped) (permuted) (cont),32,12,5184,3,2535
510,VIEW, (reshaped) (permuted) (cont) (view),32,12,5184,1,0
511,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,12,144,36,0
512,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),144,32,12,36,0
513,CONT, (reshaped) (permuted) (cont) (view) (reshaped) (permuted) (con,144,32,12,36,1036
514,VIEW, (reshaped) (permuted) (cont) (view),32,12,5184,1,0
515,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,12,144,36,0
516,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,12,36,0
517,VIEW, (reshaped) (permuted) (cont) (view),32,12,5184,1,0
518,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,12,144,36,0
519,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,12,36,1
520,MUL_MAT,node_520,144,144,12,36,6744
521,RESHAPE,swin_layer_64x64.attn_mask (reshaped),144,144,1,36,3
522,REPEAT,node_522,144,144,12,36,1607
523,GET_ROWS,node_523,12,20736,1,1,212
524,RESHAPE, (reshaped),12,144,144,1,0
525,PERMUTE, (reshaped) (permuted),144,144,12,1,0
526,CPY, (reshaped) (permuted) (copy),144,144,12,1,99
527,ADD,node_527,144,144,12,36,3237
528,SOFT_MAX,node_528,144,144,12,36,4135
529,MUL_MAT,node_529,32,144,12,36,5055
530,PERMUTE, (permuted),32,12,144,36,2
531,CONT, (permuted) (cont),32,12,144,36,489
532,RESHAPE, (permuted) (cont) (reshaped),384,144,36,1,1
533,MUL_MAT,node_533,384,144,36,1,3751
534,ADD,bb.layers.1.blocks.1.attn,384,144,36,1,95
535,RESHAPE,bb.layers.1.blocks.1.attn (reshaped),4608,12,6,6,1
536,PERMUTE,bb.layers.1.blocks.1.attn (reshaped) (permuted),4608,6,12,6,0
537,CONT,bb.layers.1.blocks.1.attn (reshaped) (permuted) (cont),4608,6,12,6,436
538,RESHAPE,bb.layers.1.blocks.1.attn (reshaped) (permuted) (cont) (reshape,384,72,72,1,0
539,ROLL,node_539,384,72,72,1,306
540,RESHAPE, (reshaped),384,72,72,1,1
541,VIEW, (reshaped) (view),384,64,64,1,0
542,CONT, (reshaped) (view) (cont),384,64,64,1,341
543,RESHAPE, (reshaped) (view) (cont) (reshaped),384,4096,1,1,0
544,ADD, (reshaped) (view) (cont) (reshaped) (view),384,4096,1,1,412
545,NORM,node_545,384,4096,1,1,224
546,MUL,node_546,384,4096,1,1,77
547,ADD,bb.layers.1.blocks.1.norm2,384,4096,1,1,81
548,MUL_MAT,node_548,1536,4096,1,1,10161
549,ADD,node_549,1536,4096,1,1,764
550,UNARY, (view),1536,4096,1,1,2780
551,MUL_MAT,node_551,384,4096,1,1,10070
552,ADD,bb.layers.1.blocks.1.mlp,384,4096,1,1,62
553,ADD,bb.layers.1.blocks.1,384,4096,1,1,348
554,NORM,node_554,384,4096,1,1,251
555,MUL,node_555,384,4096,1,1,61
556,ADD,bb.norm1,384,4096,1,1,64
557,RESHAPE,bb.norm1 (reshaped),384,64,64,1,1
558,PERMUTE,bb.norm1 (reshaped) (permuted),64,64,384,1,0
559,UPSCALE,node_559,128,128,384,1,4252
560,CONCAT,node_560,128,128,768,1,6474
561,UPSCALE,node_561,32,32,768,1,1791
562,RESHAPE,bb.layers.1.blocks.1 (reshaped),384,128,128,1,1
563,VIEW,bb.layers.1.blocks.1 (reshaped) (view),384,64,64,1,0
564,VIEW,bb.layers.1.blocks.1 (reshaped) (view),384,64,64,1,0
565,VIEW,bb.layers.1.blocks.1 (reshaped) (view),384,64,64,1,0
566,VIEW,bb.layers.1.blocks.1 (reshaped) (view),384,64,64,1,0
567,CONCAT,node_567,1536,64,64,1,2694
568,RESHAPE, (reshaped),1536,4096,1,1,1
569,NORM,node_569,1536,4096,1,1,2136
570,MUL,node_570,1536,4096,1,1,781
571,ADD,bb.layers.1.downsample.norm,1536,4096,1,1,252
572,MUL_MAT,bb.layers.1.downsample,768,4096,1,1,19877
573,NORM,node_573,768,4096,1,1,901
574,MUL,node_574,768,4096,1,1,138
575,ADD,bb.layers.2.blocks.0.norm1,768,4096,1,1,87
576,RESHAPE,bb.layers.2.blocks.0.norm1 (reshaped),768,64,64,1,1
577,PAD,node_577,768,72,72,1,2189
578,RESHAPE, (reshaped),9216,6,12,6,2
579,PERMUTE, (reshaped) (permuted),9216,12,6,6,0
580,CONT, (reshaped) (permuted) (cont),9216,12,6,6,1398
581,RESHAPE, (reshaped) (permuted) (cont) (reshaped),768,144,36,1,0
582,MUL_MAT,node_582,2304,144,36,1,37504
583,ADD,node_583,2304,144,36,1,2480
584,RESHAPE, (reshaped),32,24,3,5184,1
585,PERMUTE, (reshaped) (permuted),32,24,5184,3,0
586,CONT, (reshaped) (permuted) (cont),32,24,5184,3,6302
587,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,2
588,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,1
589,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),144,32,24,36,0
590,CONT, (reshaped) (permuted) (cont) (view) (reshaped) (permuted) (con,144,32,24,36,2287
591,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,1
592,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,0
593,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,24,36,0
594,VIEW, (reshaped) (permuted) (cont) (view),32,24,5184,1,0
595,RESHAPE, (reshaped) (permuted) (cont) (view) (reshaped),32,24,144,36,0
596,PERMUTE, (reshaped) (permuted) (cont) (view) (reshaped) (permuted),32,144,24,36,0
597,MUL_MAT,node_597,144,144,24,36,13072
598,RESHAPE,swin_layer_64x64.attn_mask (reshaped),144,144,1,36,4
599,REPEAT,node_599,144,144,24,36,3185
600,GET_ROWS,node_600,24,20736,1,1,247
601,RESHAPE, (reshaped),24,144,144,1,1
602,PERMUTE, (reshaped) (permuted),144,144,24,1,0
603,CPY, (reshaped) (permuted) (copy),144,144,24,1,189
604,ADD,node_604,144,144,24,36,6511
605,SOFT_MAX,node_605,144,144,24,36,9215
